townland,county,entity_id,class_code,monument_type,latitude,longitude,web_notes,website_link
Derreenataggart West,Cork,CO14743,MUSC,Stone circle - multiple-stone,51.653975,-9.929071,"On level patch of rough pasture on SE slopes of Miskish mountain. Circle incomplete; may have consisted of fifteen stones. Twelve survive, three of these prostrate. Orthostats are 0.4m to 2.4m L, 0.15m to 0.3m T and 1.25m to 1.9m H. Internal measurement along mains axis, aligned E-W, is 7.8m. (Ó Nualláin 1984, 20, no. 26)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO115-011002-
"Ahagilla (Ibane And Barryroe By., Castleventry Par.)",Cork,CO15480,MUSC,Stone circle - multiple-stone,51.641149,-8.963062,"In pasture, just off crest of hill which overlooks headwaters of Argideenriver. Circle incomplete, contains considerable amount of field clearance.Three stones survive including axial stone, S entrance stone and anotherflanking it to S. Orthostats are 0.45m to 0.77m L, 0.15m to 0.37m T and 0.47m to 1.35m H. Internal measurement along main axis, aligned NE-SW, is 7m. (Roberts 1988, Ch. 1, no. 20)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-100----
Dromgarvan,Cork,CO14943,FISC,Stone circle - five-stone,51.691995,-9.724547,"Stands less than 100m from shore, at inner end of Adrigole harbour SE of mouth of Adrigole river. Circle complete; stones other than axial stone in inclined positions. Stones are 0.9m to 1.6m L, 0.15m to 0.5m T and 0.7m to 1.9m H. Internal measurement along main axis, aligned NE-SW, is 2.9m. (Ó Nualláin 1984, 42, no. 83)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 7/1970).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO116-006----
Baurgorm,Cork,CO15078,FISC,Stone circle - five-stone,51.658305,-9.42362,"In level pasture in basin of headwater of Durrus river. One of the five stones, the N entrance stone, has fallen. Others are 0.9m to 1.4m L, 0.4m to 0.5m T and 0.8m to 1.25m H. Internal measurement along main axis, aligned NE-SW, is c. 2.5m. Prostrate stone (L 2.4m; 1.4m) c. 2m S of circle, possible fallen standing stone, rests on small heap of rubbish. (Ó Nualláin 1984, no. 86; Roberts 1988, Ch. 5, no. 6).  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-042----
Baurgorm,Cork,CO15081,FISC,Stone circle - five-stone,51.667041,-9.412632,"On small level patch of moorland on NE side of saddle between Spratt Hill and Knockaveagh. One of five stone fallen; others are 0.8m to 1.1m L, 0.15m to 0.3m T and 1m to 1.3m H. Entrance stones set unusually far apart. Internal measurement along main axis, aligned NE-SW, is 2.45m. Pair of standing stones (CO118-044001-) c. 5.5m to S. (Ó Nualláin 1984, 42, no. 85; Roberts 1988, Ch. 5, no. 5).  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-044002-
Cullomane East,Cork,CO15125,FISC,Stone circle - five-stone,51.65333,-9.3932,"In pasture, on level patch of ground on E slopes of Spratt Hill. Circle complete; two stones embedded in fence. Stones are 1.1m to 1.5m L, 0.5m to 0.7m T and 1m to 1.2m H. Internal measurement along main axis, aligned NE-SW, is 3.9m. Interior filled with field stones. Standing stone (CO118-073002-) 60m to NE; boulder-burial (CO118-071003-) and cairn (CO118-071002-) 200m to W. (O Nualláin 1984, 42, no. 84; Roberts 1988, Ch. 5, no. 3)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO118-073001-
Lettergorman,Cork,CO15408,FISC,Stone circle - five-stone,51.65858,-9.067067,"On shoulder of S-facing hill slope, N of Glashagloragh river. Circle complete; N entrance stone has fallen; interior filled with field stones. Orthostats are 0.7m to 1.7m L, 0.15m to 0.6m T and 1m to 1.4m H. Internal measurement along main axis, aligned NE-SW, is 2.7m. (O Nualláin 1984, 44, no. 89; Roberts 1988, no. 9)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-035----
Templebryan North,Cork,CO15596,MUSC,Stone circle - multiple-stone,51.643187,-8.883317,"On level ground, in rolling pasture, c. 500m S of Argideen river. Circle consisted of nine stones. Four upright and one fallen stone remain; these include possible axial and entrance stones. Orthostats are 1.1m to 1.6m L, 0.5m to 1m T and 1.4m to 2m H. Internal measurement along main axis, aligned NNE-SSW, is c. 9.5m. Quartz stone (H 0.8m; 0.9m x 0.7m) aligned NNE-SSW, centrally placed within circle. (Ó Nualláin 1984, 22, no. 31; Roberts 1988, Ch.1, no. 16)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO122-076----
Trawlebane,Cork,CO15154,FISC,Stone circle - five-stone,51.674493,-9.385535,"On level terrace on S-facing slope, in valley of Owennashingaun river. Circle complete; S entrance stone split; interior filled with field stones. Stones are 0.8m to 1.5m L, 0.2m to 0.4m T and 0.7m to 1.1m H. Internal measurement along main axis, aligned NE-SW, is 2.4m.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO119-005----
Inchybegga,Cork,CO15185,FISC,Stone circle - five-stone,51.658997,-9.376144,"In level pasture, on saddle between Maunvaugh hill and lower ridge to S, overlooking Owennashingaun river basin to E. Axial stone missing, interior of circle filled with field stones. Orthostats are 0.6m to 1m L, 0.3m to 0.4m T and 0.4m to 0.6m H. Estimated internal measurement along main axis, aligned NE-SW, is c. 3m. (Ó Nualláin 1984, 43, no. 87; Roberts 1988, Ch. 5, no. 2).  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO119-032----
Clodagh,Cork,CO15287,FISC,Stone circle - five-stone,51.696364,-9.224684,"In pasture, on shoulder of NW-facing lower slopes of Milane hill. Circle complete; interior filled with field stones. Stones are 0.9m to 1.15m L, 0.3m to 0.7m T and 0.7m to 1.3m H. Internal measurement along main axis,aligned NE-SW, is 2.7m. Pair of standing stones (CO120-00101-) to SW. (O Nualláin 1984, 43, no. 88)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO120-001002-
Garryglass,Cork,CO15361,MUSC,Stone circle - multiple-stone,51.654636,-9.12363,"In rough pasture on N-facing slope 1.4km SW of Curraghalicky lake. One stone stands at site of monument, 0.9m L, 0.4m T and 0.4m H. OS Name Book (1841) records ....'a druidical circle here consisting of eleven stones placed in a ring about a central one varying in height from 21/2 to 3 feet'. (O Nualláin 1984, 20, no. 27; Roberts 1988, Ch. 6, no. 5)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO120-062----
Carrigagrenane,Cork,CO15430,FISC,Stone circle - five-stone,51.641482,-9.070972,"In pasture, at foot of hill, at head of Ardigeen river valley. Probable five-stone circle; axial stone and N flanking stone survive. Former is 1.5m L, 0.4m T and 0.9m H; latter 0.8m L, 0.6m T and 1m H. Main axis probably lay NE-SW. Two other stones, leaning against fence to E, may originally have formed part of monument. (O Nualláin 1984, 44, no. 91; Roberts 1988, Ch. 6, no. 12)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-054----
Maulatanvally,Cork,CO15433,MUSC,Stone circle - multiple-stone,51.646148,-9.064955,"On small level patch of pasture among hillocks of outcropping rocks. Circle incomplete; may have consisted of eleven stones. Seven orthostats survive, including axial and S radially-set entrance stone. They are 0.8m to 1.6m L, 0.15m to 0.5m T and 0.3m to 1.4m H. Internal measurement along main axis, aligned NE-SW, is 9,5m. Quartz conglomerate block (H 0.6m; 1.1m x 1m) stands within SW quadrant of circle. (O Nualláin 1984, 21, no. 30; Roberts 1988, Ch. 6, no. 11)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-057----
Glanbrack,Cork,CO15435,FISC,Stone circle - five-stone,51.648114,-9.053339,"In level pasture S of crest of ridge between valleys of Glashagloragh river to N and Argideen river to S. Circle incomplete; axial stone and two stones flanking it survive. They are 0.9m to 1.6m L, 0.2m to 0.5m T and 0.6m to 0.95m H. Main axis appears to be aligned NE-SW, c. 2.8m in greatest width. Two standing stones (CO121-059002-; CO121-059003-) nearby to W and SW. Multiple stone circle (CO121-057---) c. 850m to SW. (O Nuallláin 1984, 44, no. 90; Roberts 1988, Ch. 6, no. 10)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-059001-
Knocks (Carbery East (W.D) By.),Cork,CO15441,MUSC,Stone circle - multiple-stone,51.659454,-9.013086,"In level ground in rolling pasture of headwaters of Ihernagh river of Argideen river. Ten of eleven stones survive, including axial stone and two radially-set entrance stones. Orthostats are 0.5m to 1.2m L, 0.2m to 0.7m T and 0.6m to 1.1m H. Internal measurement along main axis, aligned E-W, is 8.9m. (O Nualláin 1984, 20, no. 28; Roberts 1988, Ch. 6, no. 16)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-063----
Knocks (Carbery East (W.D) By.),Cork,CO15445,MUSC,Stone circle - multiple-stone,51.647345,-9.008799,"On level ground in valley and 100m N of Argideen river. Circle incomplete; may have consisted of nine, or possibly eleven stones. Five orthostats survive, including axial stone and radially-set entrance stone. These are 0.65m to 1.6m L, 0.2m to 0.7m T and 0.9m to 1.45m H. Internal measurement along main axis, aligned NE-SW, is 8.5m. Centrally placed standing stone (H 1.15m; 0.85m x 0.6m) is split in two pieces, aligned NE-SW. Multiple stone circle (CO121-063---) c. 1.4km to NNW. (O Nualláin 1984, 21, no. 29; Roberts 1988, Ch. 6, no. 16)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO121-067----
Gorteanish,Cork,CO16046,MUSC,Stone circle - multiple-stone,51.598573,-9.644509,"Situated in an area of outcropping rock with dense furze and brambles, overlooking Dunmanus Bay to the S. The monument was cleared of vegetation on rediscovery in 1995 (see Power et al. 1992, 43). The circle is incomplete: four erect and seven prostrate slabs indicate a circle of eleven stones. Both entrance stones and the axial stone are prostrate and the sockets for three fallen stones are visible with some packing-stones still in situ. Orthostats are 0.9m to 1.4m L, 0.2m to 0.55m T and 0.8m to 1.4m H. The internal measurement along the main axis, aligned NE-SW, is c. 7.5m. Two shallow pits were dug within the circle in modern times, one at the centre and the other beside an orthostat to S. The cover-stone of a possible boulder-burial (CO130-016001-) stands in the NW quadrant of the circle and a second example (CO130-043----) stands immediately outside the circle to S.  The above description is derived from 'The Archaeological Inventory of County Cork. Volume 5' (Dublin: Stationery Office, 2009).  Date of upload: 22 December 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO130-016----
Dunbeacon,Cork,CO16065,MUSC,Stone circle - multiple-stone,51.595727,-9.549078,"On W shoulder of Mount Corrin, near inner S end of Dunmanus Bay. Circle incomplete; six erect and five prostrate stones indicate circle of eleven stones. Orthostats are 0.8m to 1.3m L, 0.15m to 0.5m T and 1.6m to 1.9m H. Internal diameter of circle is c. 8m. At centre of circle, standing stone (H 1.1m; 1.7m x 0.3m) leans heavily to S. (O Nualláin 1984, 22, no. 32; Roberts 1988, Ch. 4, no. 50).  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO130-030----
Carrigagrenane,Cork,CO16364,MUSC,Stone circle - multiple-stone,51.637075,-9.078048,"In pasture, at E foot of Carrigfadda hill. Circle incomplete; fence on W perimeter may conceal some orthostats. Appears to have consisted of nineteen stones. Thirteen stones survive, one prostrate. Entrance stones radially set; in line with these externally, are two additional stones which form an entrance passage. Orthostats are 0.5m to 1.4m L, 0.1m to 0.7m T and 0.4m to 1.1m H. Internal measurement along main axis, aligned NE-SW, is c. 8.5m. Documentary sources indicate that standing stone stood at, or near, centre of circle. Five-stone circle (CO121-054---) c. 700m to NE. (O Nualláin 1984, 22, no. 33; Roberts 1988, Ch. 6, no. 12)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO134-008----
Reanascreena South,Cork,CO16396,MUSC,Stone circle - multiple-stone,51.617826,-9.063367,"On level patch of ground near top of low rounded hill. Excavated in 1961 (Fahy 1962, 59-69). Circle complete comprising thirteen stones. They are 0.65m to 1.1m L, 0.35m to 0.7m T and 0.85m to 1.5m H. Internal measurement along main axis, aligned ENE-WSW, is 9.25m. External fosse (D 0.4m; Wth c. 3.75,) surrounds circle; bank to outside (H 0.2m; Wth c. 3.5m); overall diameter c. 24m. Two pits found within circle, one of which contained fragments of cremated bone. Series of conjoined pits containing soil and broken stone found beneath bank to E, considered contemporary with it. (O Nualláin 1984, 23, no. 34; Roberts 1988, Ch. 6, no. 13)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO134-032----
Ballyvackey,Cork,CO16488,MUSC,Stone circle - multiple-stone,51.63324,-8.948376,"In low flat pasture in basin of Feagle river, c 100m N of site. Circle incomplete; appears to have consisted of nine stones. Seven survive including S radially-set entrance stone and axial stone (flat topped and largest of group). Stones ar 0.7m to 1.6m L, 0.3m to 0.5m T and 0.95m to 1.5m H. Internal measurements along main axis of circle, aligned ENE-WSW is c. 8.5m. Possible boulder-burial (CO135-005002-) and standing stone (CO135-129---) c. 50m to N.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO135-005001-
Bohonagh,Cork,CO17384,MUSC,Stone circle - multiple-stone,51.580547,-8.999715,"On level patch of ground on S-facing slope 1.5km N of Rosscarbery bay. Group of monuments, excavated in 1959 (Fahy 1961, 93-104) also comprises boulder-burial (CO143-032003-) and hut site (CO143-032004-). Excavation revealed that circle consisted of thirteen stones, nine of which survive. Stones are 0.65m to 1.8m L, 0.35m to 0.9m T and 1.35m to 2.85m H. Internal measurement along main axis, aligned E-W is c. 8.5m. Entrance stones are set with long axes end-on to circumference. Shallow pit containing soil, pebbles and small fragments of cremated bone found beneath low mound of soil at centre of circle. Three pieces of flint found on old ground level at circle's entrance. Slab (CO143-032002-) with seven cup-marks on upper surface found beneath low mound, c. 10m to SE. (O Nualláin 1984a, 24, no.36; Roberts 1988, ch. 1, no. 33)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO143-032001-
Drombeg (Carbery E. (W.D.) By.),Cork,CO17415,MUSC,Stone circle - multiple-stone,51.564569,-9.087035,"In pasture on natural rock terrace on S slope of low hill. Circle excavated 1957 (Fahy 1959, 1-27); and nearby fulacht fiadh (CO143-051002-) and hut site (CO143-051001-) in 1958 (Fahy 1960, 1-17). Circle consisted of seventeen stones; two missing and one fallen. Stones are 0.55m to 2.05m L, 0.2m to 0.65m T and 1.1m to 2.05m H. On upper surface of axial stone, largest stone in circle, are two shallow cup-marks, one surrounded by oval carving. Internal measurement along main axis, aligned NE-SW, is 9m. Five pits found within circle, sealed beneath compacted gravel floor; one pit contained deposit of cremated human bone, fragments of shale and numerous sherds of coarse fabric pot. Charcoal from burial yielded C14 determination of AD 600 ± 120 (D-62) which is 'clearly anomalous' (O Nualláin 1984a, 10). Other finds from circle included seven pieces of flint, including small convex scraper. O Nualláin 1984, 24. no. 37; Roberts 1988, Ch. 2, no. 5)The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 1: West Cork' (Dublin: Stationery Office, 1992). In certain instances the entries have been revised and updated in the light of recent research.Date of upload/revision: 14 January 2009This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 62/1938).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO143-051002-
Kilmeedy West,Cork,CO18574,FISC,Stone circle - five-stone,52.044032,-9.099709,"Situated on a bog-covered saddle of the NE fringe of the Derrynasaggart Mountains rising to Claragh Mountain to the NE and overlooking the Blackwater valley to the NW. The stone circle is incomplete: two upright stones stand 1.27m apart. The W stone (1.15m x 0.28m; H 0.7m) is a probable axial stone and the E stone (0.67m x 0.47m; H 0.7m) is a possible entrance stone. The measurement along the presumed axis, atypically aligned NNW-SSE, is 1.6m. The relationship of the circle to two slabs lying prostrate to S (1.95m) and SW (1.4m) is unclear, possibly they are displaced orthostats.  The above description is derived from 'The Archaeological Inventory of County Cork. Volume 5' (Dublin: Stationery Office, 2009).  Date of upload: 22 December 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO039-242----
Killycluggin,Cavan,CV00295,STCI,Stone circle,54.090757,-7.634124,"Situated 10m WNW of the site of the celebrated Killycluggin Stone (93). Much disturbed. Subcircular raised area (int. dims. 22m E-W; 18.6m N-S) enclosed by a total of eighteen stones, all but five of which have fallen. The site is divided into two unequal portions by a field boundary running N-S. The smaller portion, W of this, is defined by four orthostats still in position. The largest stone (now fallen) is at NNE (L 3.93m; dims. 1.45m x 0.68m). (Ó Ríordáin 1979, 155; Killanin and Duignan 1989, 61)  The above description is derived from the published 'Archaeological Inventory of County Cavan' (Dublin: Stationery Office, 1995). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 22 December 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-026002-
Kilnavert,Cavan,CV00314,STCI,Stone circle,54.089494,-7.64132,"Not marked on OS 1836 or 1876 eds. This monument is situated on a ridge which has been planted with coniferous trees. Slightly raised circular area (int. dims. 11.8m NE-SW; 10.9m NW-SE) defined by sixteen squat irregularly shaped boulders. There is a large break in the circle from NE-E-ESE and a smaller one from W-WNW-NW. There is an isolated boulder c. 2m SSW of the circle and a second stone within the perimeter at E.  The above description is derived from the published 'Archaeological Inventory of County Cavan' (Dublin: Stationery Office, 1995). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 22 December 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-041----
Lissanover,Cavan,CV00315,STCI,Stone circle,54.091757,-7.650028,"Not marked on OS 1836 or 1876 eds. Situated on the NNW shoulder of a low rise. All that remains of the site is a heap of small stones containing one large partly buried recumbent stone (H 0.9m; dims 2.25m x 0.7m) with two smaller heaps of small stones 11.3m to SSE.  The above description is derived from the published 'Archaeological Inventory of County Cavan' (Dublin: Stationery Office, 1995). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 22 December 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV013-042----
Banagher,Cavan,CV01201,STCI,Stone circle,53.945427,-7.290699,"One of a complex of burial and ritual sites which occupy an area 150m by 130m on a patch of uneven elevated pasture overlooked from the NW by Slieve Glah (CV026-004004-, CV026-004003-, CV026-004006-, CV026-004002-, CV026-004005-). Stone circle (int, diam. c. 16m). The W half survives and is represented by seven set stones rising at intervals from a low grassy bank (Wth 3.5m; H 0.5m).  The above description is derived from the published 'Archaeological Inventory of County Cavan' (Dublin: Stationery Office, 1995). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 22 December 2008  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 8/1972).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV026-004001-
Banagher,Cavan,CV01203,STCI,Stone circle,53.94491,-7.289947,"A component of the aforementioned complex of ritual sites (CV026-004004-, CV026-004001-, CV026-004006-, CV026-004002-, CV026-004005-). Large stone circle (int. dims. 40m E-W x 35m N-S) comprising twelve stones, five now upright measuring between 0.65m and 1.3m high, and the others prostrate. Within the circle is a ruined chambered cairn which housed a possible passage tomb (11) (Ó Nualláin 1989, 127).  The above description is derived from the published 'Archaeological Inventory of County Cavan' (Dublin: Stationery Office, 1995). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 22 December 2008  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 8/1972).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CV026-004003-
Glackadrumman,Donegal,DG00353,STCI,Stone circle,55.272167,-7.148124,"Known as the Bocan stone circle the site now consists of seven standing stones, 1m-2m high, and a few fallen and broken stones partially enclosing a subcircular area c. 20m in diameter. The stones are all concentrated in the NW and SE quadrants. Shaw Mason (1816, 180) described twelve upright stones which formed part of a circle of sixty feet diameter and went on to say that 'graves' containing 'earthen urns' have frequently been discovered at Bocan. In the SW quadrant there is a track, possibly the result of livestock using stones (now removed?) as scratching posts. The interior of the circle as well as sections of the perimeter are confused by field clearance stones. No trace exists of the two possible outliers noted as being to the E of the circle (Swan 1949, 113). The site is situated on the W slopes of a low hill, in a large recently reclaimed grazing field, with extensive views on all but the E side.  The above description was derived from the 'Archaeological Survey of County Donegal. A description of the field antiquities of the County from the Mesolithic Period to the 17th century.' Compiled by: Brian Lacey with Eamon Cody, Claire Cotter, Judy Cuppage, Noel Dunne, Vincent Hurley, Celie O'Rahilly, Paul Walsh and Seán Ó Nualláin (Lifford: Donegal County Council, 1983). In certain instances the entries have been revised and updated.  Date of upload: 22 September 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG012-004----
Ballyedmonduff,Dublin,DU02179,STCI,Stone circle,53.232952,-6.224633,"Situated on the lower S slopes of Two Rock Mountain. A stone circle comprised of a circular area defined by seven orthostats (H c. 1m) and ten more stones only partially exposed. This site was first identified by Healy in 1967 (1975, 1-19). Unfortunately it was planted with trees in 1972 leaving no visible remains at ground level.Compiled by: Geraldine Stout and Padraig ClancyUploaded on: 28 July 2018", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DU025-046----
An Cheathrú Riabhach (Tc Gleann Ó Gceanann),Donegal,DG00591,STCI,Stone circle,55.209212,-7.223251,"An arc of 6 stones, revealed by turf cutting, which may represent the E through S to SW sectors of a stone circle. The largest stone is 1m high × 0.9m wide × 0.2m thick. The smallest stone is .3m high × 0.8m wide × 0.15m thick. There appears to be another stone below the ground surface in the W sector and further stones may exist in the uncut section of the bog. The site is situated on open mountain terrain which slopes NE down to Meenahonor Burn. Approximately 125m E of it is a Wedge-tomb (99) also partially exposed in the bog.  The above description was derived from the 'Archaeological Survey of County Donegal. A description of the field antiquities of the County from the Mesolithic Period to the 17th century.' Compiled by: Brian Lacey with Eamon Cody, Claire Cotter, Judy Cuppage, Noel Dunne, Vincent Hurley, Celie O'Rahilly, Paul Walsh and Seán Ó Nualláin (Lifford: Donegal County Council, 1983). In certain instances the entries have been revised and updated.  Date of upload: 22 September 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG020-003----
Ráith (Tc Gleann Eala),Donegal,DG01006,STCI,Stone circle,55.082938,-7.583667,"In the vicinity of a holy well, Boyle Somerville (1909, 228-9) noted a number of 'megalithic and other prehistoric remains'. These included 'three small stone earns' a large rounded mound, 'half of the circumference of a circle of very large stones', and, on a nearby hill, 'what look like the remains of a stone circle'. None of these features could be found but some may remain concealed as part of the area is forested.  The above description was derived from the 'Archaeological Survey of County Donegal. A description of the field antiquities of the County from the Mesolithic Period to the 17th century.' Compiled by: Brian Lacey with Eamon Cody, Claire Cotter, Judy Cuppage, Noel Dunne, Vincent Hurley, Celie O'Rahilly, Paul Walsh and Seán Ó Nualláin (Lifford: Donegal County Council, 1983). In certain instances the entries have been revised and updated.  Date of upload: 22 September 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG037-013001-
Ráith (Tc Gleann Eala),Donegal,DG01011,STCI,Stone circle,55.074517,-7.5934,"A previous account (Boyle-Somerville 1909, 224-5) notes a 'prehistoric circle' on Ray Point. This survives as a low grass-covered mound, 10-11m in diameter, and composed of earth and stones. Its archaeological significance is uncertain. Situated on level pasture land c. 30m from the shore of Lough Swilly.  The above description was derived from the 'Archaeological Survey of County Donegal. A description of the field antiquities of the County from the Mesolithic Period to the 17th century.' Compiled by: Brian Lacey with Eamon Cody, Claire Cotter, Judy Cuppage, Noel Dunne, Vincent Hurley, Celie O'Rahilly, Paul Walsh and Seán Ó Nualláin (Lifford: Donegal County Council, 1983). In certain instances the entries have been revised and updated.  Date of upload: 22 September 2008", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=DG037-016----
