townland,county,smrs,entity_id,objectid,class_code,monument_type,latitude,longitude,web_notes,,,,,
LISSARD,LIMERICK,LI041-032009-,LI04423,91205,DTBA,ditch barrow,52.416866,-8.330433,"In pasture, in the NE quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 235m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). No surface remains visible on Digital Globe orthoimage taken between 2011-13. Faint trace of monument visible as a circular cropmark (diam. c. 8m) transected at E by a drainage ditch on OSi orthoimage dated taken between 2005-12.  See attached plan of survey from Ó Ríordáin (1936)  Compiled by: Fiona Rooney   Date of upload: 16 July 2021",,,,,
LISSARD,LIMERICK,LI041-032012-,LI04426,4866,DTBA,ditch barrow,52.417118,-8.330258,"In reclaimed pasture, in NE quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 270m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). No surface remains visible on Google Earth orthoimages. Faint trace of monument visible as a circular cropmark (diam. c. 4m) intersected at NW by a drainage channel running NE-SW on Digital Globe orthoimage taken between 2011-13.  See attached plan of survey from Ó Ríordáin (1936)  Compiled by: Fiona Rooney   Date of upload: 26 July 2021",,,,,
LISSARD,LIMERICK,LI041-032010-,LI04424,91206,DTBA,ditch barrow,52.416831,-8.330139,"In reclaimed pasture, in E quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 250m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). No surface remains visible on Digital Globe orthoimage taken between 2011-13.  Faint outline of possible ditch barrow visible on Google Earth orthoimages taken 14/09/2021 and 18/11/2018.  See attached plan of survey from Ó Ríordáin (1936) and Google Earth orthoimages  Compiled by: Fiona Rooney   Date of upload: 26 July 2021",,,,,
LISSARD,LIMERICK,LI041-032013-,LI04427,4867,DTBA,ditch barrow,52.417371,-8.329922,"In reclaimed pasture, in NE quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 285m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). Monument visible as a circular cropmark ( diam. c. 5m) on Digital Globe orthoimage taken between 2011-13 and on Google Earth orthoimage taken 18/11/2018.  See attached plan of survey from Ó Ríordáin (1936) and Google Earth orthoimage.  Compiled by: Fiona Rooney   Date of upload: 26 July 2021",,,,,
LISSARD,LIMERICK,LI041-032014-,LI04428,4868,DTBA,ditch barrow,52.417191,-8.329891,"In reclaimed pasture, in NE quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 305m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). Monument visible as a circular cropmark (diam. c. 5m) on Digital Globe orthoimage taken between 2011-13 and on Google Earth orthoimage taken 18/11/2018.  See attached plan of survey from Ó Ríordáin (1936) and Google Earth orthoimages.  Compiled by: Fiona Rooney   Date of upload: 26 July 2021",,,,,
LISSARD,LIMERICK,LI041-032011-,LI04425,3096,DTBA,ditch barrow,52.416689,-8.329461,"In reclaimed pasture, in E quadrant of a group of fourteen barrows (LI041-032001/013-). Enclosure (LI041-031----) lies 270m to the SW and a barrow cemetery (LI049-072001/026-) lies to the S and SSW. Not marked on OSi historic maps. Identified in 1936 during a survey of the area undertaken by Ó Ríordáin (1936, 175). No surface remains visible on Digital Globe orthoimage taken between 2011-13.  Faint outline visible on Google Earth orthoimage taken 18/11/2018.  See attached plan of survey from Ó Ríordáin (1936) and Google Earth orthoimage  Compiled by: Fiona Rooney   Date of upload: 26 July 2021",,,,,
"CARROWREAGH (Castlereagh By., Castleteheen ED)",ROSCOMMON,RO027-078----,RO03104,114403,DTBA,ditch barrow,53.72262,-8.329308,On a broad low E-W ridge. Circular grass-covered area (diam. 14.5m N-S 14.5m E-W) defined by a shallow fosse (Wth of top 4-6m; int. D 0.1-0.2m; ext. D 0.1-0.3m). Barrow (RO027-054----) is c. 150m to the WNW.  Compiled by: Michael Moore  Date of upload: 24 August 2010 ,,,,,
BALLYNEETY SOUTH,LIMERICK,LI033-105----,LI06921,92049,DTBA,ditch barrow,52.511526,-8.32908,In improved pasture 125m N of a watercourse that marks the townland boundary with Cloghilawarreela. Ring-barrow (LI033-129----) lies 13m to NE and enclosure (LI033-104----) 100m to NE.  Not depicted on historic OSi maps.  Identified by Bruff aerial photographic survey in 1986 (Bruff 99.01; AP 4/3618) as a ring-barrow.  Visible as a circular cropmark (diam. c. 9m) on OSi orthophoto taken between 2005-12 and on Google Earth orthoimage dated 18/11/2018.  See attached Google Earth orthoimages and Bruff image labelled 99.01  Compiled by: Martin Fitzpatrick  Date of upload: 13 April 2021,,,,,
CARNAKIT,ROSCOMMON,RO021-042031-,RO02176,113947,DTBA,ditch barrow,53.787324,-8.328434,"Visible as a circular feature on aerial photographs (OS: 2/4210/4252), and situated just off the crest of a WNW-ESE ridge on the S side. Circular grass-covered platform (diam. 4.1m; H 0.2-0.3m) defined by a reed-filled fosse (Wth 1.5m; D 0.2-0.3m).  Compiled by: Michael Moore  Date of upload: 24 August 2010 ",,,,,
MOANMORE (Emly Par.),TIPPERARY SOUTH,TS066-090004-,TS04196,134981,DTBA,ditch barrow,52.44204,-8.328297,"In level pasture with a barrow (TS066-090005-) located c. 50m to the SSE. Identified on aerial photograph (Bruff Survey aerial photo 5/2090). Circular slightly raised area (diam. 5m) defined by a gently sloping earthen scarp (Wth 1.6m; H 0.2m) with a flat-bottomed external fosse (overall Wth 1.6m; Wth at base 0.6m; D 0.1m). The fosse is best preserved N-ESE being shallow and difficult to trace WNW-N and ESE-SW. The fosse is not visible at ground level SW-WNW where a modern NNW-SSE orientated field boundary lies along the line of the fosse. The interior is level, dry and clear of overgrowth.  Compiled by: Jean Farrelly  Date of revised upload: 8 September 2014",,,,,
DROMLARA,LIMERICK,LI024-347----,LI08583,158802,DTBA,ditch barrow,52.569989,-8.327806,"In reclaimed pasture, ringfort (LI024-029----) 70m to NW. Second possible ditch-barrow (LI024-348----) 40m to E.  Faint outline of ditch-barrow visible on Google Earth orthophoto taken 18/11/2018. See attached Google Earth orthoimage taken 18/11/2018Compiled by: Caimin O'Brien based on details provided by Alison McQueen and Vera Rahilly Date of upload: 29 September 2020",,,,,
DROMLARA,LIMERICK,LI024-348----,LI08584,158803,DTBA,ditch barrow,52.570009,-8.327054,"In reclaimed pasture, ringfort (LI024-029----) 90m to NW. Second possible ditch-barrow (LI024-347----) 40m to W.  Faint outline of ditch-barrow visible on Google Earth orthophoto taken 18/11/2018. See attached Google Earth orthoimage taken 18/11/2018Compiled by: Caimin O'Brien based on details provided by Alison McQueen and Vera Rahilly Date of upload: 29 September 2020",,,,,
TREANMANAGH,LIMERICK,LI033-094----,LI06910,3238,DTBA,ditch barrow,52.527102,-8.32591,In improved pasture 100m NW of a watercourse. Enclosure (LI033-093----) 100m to N.  Not depicted on historic OSi maps.  Identified by Bruff aerial photographic survey in 1986 (Bruff 78; AP 4/3626) as a ring-barrow.  Visible as a circular cropmark on OSi orthophoto taken between 2005-12 and on Google Earth orthoimage dated 18/11/2018.  See attached Google Earth orthoimages and Bruff image showing possible monument labelled Bruff 78  Compiled by: Martin Fitzpatrick  Date of upload: 12 April 2021,,,,,
"LISSOBIHANE,TULLA (Emly Par.)",TIPPERARY SOUTH,TS066-157----,TS01986,132652,DTBA,ditch barrow,52.463135,-8.325187,In a low-lying level area in otherwise gently undulating pasture. A ring-ditch (TS 066-034----) is located 50m to the NW and a ring-barrow (TS066-035----) 50m to the SW. Circular very slightly raised area (diam. 6m) defined by a gently sloping earthen scarp (Wth 1m; H 0.2m) with a flat-bottomed external fosse (overall Wth 2m; Wth at base 1m; D 0.1m). The fosse is not visible at ground level NE-SE. The interior is level and clear of overgrowth.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011,,,,,
BALLINGLANNA,TIPPERARY SOUTH,TS066-072001-,TS04906,135525,DTBA,ditch barrow,52.454824,-8.324096,"In improved, wet pasture, on a natural curvilinear ridge, overlooking a low-lying level area (possible flood plain) to N. A ditch barrow (TS066-072----) is located c. 18m to the SE. A sub-circular area (dims. 4.75m N-S; 3.5m E-W) defined by a fosse (Wth 2.2m; D 0.15m) which is broader and less defined in the NE quadrant and is backfilled at SW. The interior is grass covered with a N-facing slope. A dry drainage channel running NW-SE lies immediately SW.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BALLYNAGRANA (Emly Par.),TIPPERARY SOUTH,TS066-072----,TS01875,132427,DTBA,ditch barrow,52.454636,-8.323683,"In improved pasture, on a gentle N-facing slope. Circular area (diam. 5.5m) defined by fosse (Wth 1.5m; D 0.13m) which is best defined NNW-NNE. Former bed of stream (long axis E-W) to S and dry drainage channel c. 1.5m to W. Ditch barrow (TS066-072001-) is c. 18m to NW. Identified as a ring-ditch on an aerial photograph (OS 2434/5).  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BALLYSHONEEN,LIMERICK,LI024-236----,LI06473,7901,DTBA,ditch barrow,52.550416,-8.32306,"In flat pasture 26m E of the townland boundary with Ballynaclogh. The ring-barrow is 100m SW of a ringfort (LI024-252----) and 100m NNW of a ring-barrow (LI024-186----). The monument is not depicted on historic OSi maps, nor is it visible on OSi orthoimages taken 2005-12 nor on Digital Globe orthoimages taken 2011-2013. Identified by Bruff aerial photographic survey in 1986 (Bruff 44; AP 4/3672) as a circular ring-barrow (ext. diam. c. 7m). The ring-barrow is not visible on the Google Earth orthoimages taken 18/11/2018, but is visible on an earlier Google Earth image taken 25/03/2017). See attached Bruff survey image showing the site labelled Bruff 44 and Google Earth orthoimagesCompiled by:  Edmond O’DonovanDate of upload: 17 September 2020",,,,,
BALLYNAGRANA (Emly Par.),TIPPERARY SOUTH,TS066-076001-,TS04584,135252,DTBA,ditch barrow,52.452016,-8.322016,"In improved wet pasture, gently undulating due to former water activity. Sub-circular area (diam. 5.2m) defined by scarp (Wth 2-2.7m; H 0.3m). Slight dip in scarp at NE. Shallow depression (D 0.05-0.1m) within centre of interior. Exterior is saturated with water and poached by cattle NE-SE. Low bank (long axis ENE-WSW) to NNW may be part of old field boundary or up-cast from drainage. General area is characterised by natural water activity. Identified as a ring-ditch on an aerial photograph (OS 2435/4). A ring-barrow (TS066-076----) is c. 58m to W and two ring-barrows and a ditch barrow (TS066-076002-, TS066-076003- and TS066-076004-) are c. 69-77m to E.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
CLOGHILAWARREELA,LIMERICK,LI033-107----,LI06923,92051,DTBA,ditch barrow,52.509947,-8.321349,"In improved pasture 35m W of townland boundary with Ballyneety South, an enclosure (LI033-106----) lies 272m to the NW. Not depicted on historic OSi maps. Identified by Bruff aerial photographic survey in 1986 (Bruff 100; AP 4/3618) as circular cropmark. Visible as a circular cropmark (diam. c. 7m) on OSi orthophoto taken between 2005-12 and on Google Earth orthoimages.   See attached Google Earth orthoimages and Bruff image labelled 10   Compiled by: Fiona Rooney  Date of upload: 26 April 2021",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-073001-,TS04856,135475,DTBA,ditch barrow,52.456368,-8.321341,"In pasture, on a S-facing slope, overlooking rough pasture to the S. A ring-barrow (TS066-073----) is located c. 18m to the W. A circular area (dims. 6m N-S; 5.5m E-W) defined by a very shallow fosse (Wth 1.75m; D 0.1m). The interior slopes down gently to the SSE with the prevalent slope. A field boundary is located 14m to the NW.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BALLYNAGRANA (Emly Par.),TIPPERARY SOUTH,TS066-076004-,TS04587,135255,DTBA,ditch barrow,52.452082,-8.320883,"In improved wet pasture, c. 5m to SW of natural scarp of old water channel (long-axis c. E-W). Circular area (dims. 3.2m N-S; 3.5m E-W) defined by fosse (Wth 2.1m; D 0.18m) which is best defined (Wth 1.3m; D 0.14m) NNE-ESE. Gap (basal Wth 1.2m) at NNW. Interior is very low in profile and is c. 0.08m lower than exterior ground level. Identified as a ring-ditch on an aerial photograph (OS 2435/4). Two ring-barrows (TS066-076003- and TS066-076002-) are 1.1m to NW and 2m to W respectively. General area of monument is gently undulating due to former water activity.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
KNOCKBALLYFOOKEEN,LIMERICK,LI024-232----,LI06468,91465,DTBA,ditch barrow,52.551772,-8.320327,"In flat pasture 65m E of the townland boundary with Ballyshoneen.  Ring-barrow lies 90m NE of the ringfort (LI024-052----) known as ‘Rathaniska’ and 24m NNE of an enclosure (LI024-234----). The ring-barrow is not depicted on historic OSi maps, but it is faintly visible on OSi orthoimages taken 2005-12 and on Digital Globe orthoimages taken 2011-2013. Identified by Bruff aerial photographic survey in 1986 (Bruff 92; AP 4/3672) as a circular ring-barrow (ext. diam. 10.3m) that consists of a central circular area surrounded by a fosse. The ring-barrow is visible on the Google Earth orthoimages taken 18/11/2018. See attached Bruff survey image showing the site labelled Bruff 92 and Google Earth orthoimageCompiled by:  Edmond O’DonovanDate of upload: 17 September 2020",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-182003-,TS04855,135473,DTBA,ditch barrow,52.457046,-8.319978,"In pasture, on a S-facing slope, overlooking rough pasture to the S. Identified during field survey by Alison McQueen and Vera Rahilly (5 December 2008). A roughly circular area (dims. 4.2m N-S; 3.5m E-W) defined by a shallow fosse (Wth 2m; D 0.18m) best defined NNW-E-SW. The interior is 0.13m lower than the external ground level and tilts slightly downwards to S with the prevalent slope. There is a field boundary c. 8m to the NW.  Compiled by: Jean Farrelly  Date of revised upload: 9 September 2014",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-182001-,TS04853,135471,DTBA,ditch barrow,52.456939,-8.319565,"In pasture, on a S-facing slope, overlooking rough pasture to the S. Identified during field survey by Alison McQueen and Vera Rahilly (5 December 2008). A circular area (diam. 6m) defined by a shallow fosse (Wth 1.8m; D 0.15m). The interior slopes down to the S with the prevalent slope and is 0.1m below the external ground level. There is a shallow drain running NE-SW c. 3m to the NW and a field fence and deep land drain c. 10m to the E.  Compiled by: Jean Farrelly  Date of revised upload: 9 September 2014",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-182002-,TS04854,135472,DTBA,ditch barrow,52.457227,-8.319347,"In pasture, on a gentle S-facing slope, overlooking rough pasture to the S and situated within the SE sector of a larger sub-circular area (diam. c. 12m) defined by low scarp (H 0.2m) NE-S-NW. Identified during field survey by Alison McQueen and Vera Rahilly (5 December 2008). A sub-circular area (dims. 5m N-S; 4.2m E-W) defined by the remains of a shallow fosse (Wth 1.4m; D 0.05m) NE-S-NW. The monument has been levelled upslope across the N-sector. The interior is 0.1m higher than the external ground level. There is a field boundary 10m to the NW and the SE.  Compiled by: Jean Farrelly  Date of revised upload: 9 September 2014",,,,,
BALLYLUDDY,LIMERICK,LI024-136----,LI06360,89966,DTBA,ditch barrow,52.565563,-8.319041,"On a gentle NW-facing slope, in reclaimed pasture. Enclosures (LI024-271/135---) lie 107m to NW and 185m to SW, respectively. Not depicted on OS historic mapping. Monument identified as a circular-shaped cropmark by the Bruff aerial photographic survey in 1986 (Bruff 99: AP 4/3677). Monument is visible as a circular-shaped cropmark (approx. diam. 20m) on Google Earth orthoimages taken 18/11/2018. See attached Google Earth orthoimage and Bruff aerial image labelled Bruff 99.Compiled by: Alison McQueen and Vera RahillyDate of upload: 25 July 2020",,,,,
BALLYNACREE,TIPPERARY SOUTH,TS058-043001-,TS04165,133931,DTBA,ditch barrow,52.488357,-8.318306,In level wet pasture with a ditch-barrow (TS058-043002-) located 16m to the NNE and ringfort (TS058-043----) 70m to the SW. Circular area (diam. 10m) defined by a very slight fosse (overall Wth 1m; D 0.05m). The interior is level and clear of overgrowth.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011,,,,,
BALLYNACREE,TIPPERARY SOUTH,TS058-043002-,TS04166,133932,DTBA,ditch barrow,52.488663,-8.318205,In level wet pasture with a ditch-barrow (TS058-043001-) located 16m to the SSW and ringfort (TS058-043----) 90m to the SW. Circular area (diam. 4m) defined by a very slight fosse (overall Wth 1.8m; Wth at base 0.6m; D 0.1m). From N-W the fosse is barely visible at ground level. No entrance feature is evident. The interior undulates slightly and is clear of overgrowth.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011,,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-199----,TS05496,151102,DTBA,ditch barrow,52.456539,-8.31812,"In wet terrain, on a gentle S-facing slope, in pasture. There are three ditch barrows (TS066-182001-; TS066-182002-; TS066-182003-) lying c. 107m, 112m and 137m to the NE respectively, a ring-barrow (TS066-073----) and a ditch barrow (TS066-073----) lying c. 247m and 220m to the ESE respectively and a ring-barrow (TS066-074----) lying c. 278m to the SE. Monument identified on Google Earth aerial imagery (Imagery Date: 2/20/2009) as a circular ring-ditch, c. 6m in diameter. It is likely that this is a ditch barrow given its proximity to other barrows. There are a lot of drainage channels in this field. There is no visible trace of the monument above ground.  Compiled by: Jean Farrelly  Date of upload: 11 December 2013",,,,,
BRACKYLE,LIMERICK,LI024-319----,LI08480,158529,DTBA,ditch barrow,52.569567,-8.317507,In reclaimed grassland. Outline of circular-shaped area (approx. diam. 7m) defined by a fosse visible on Digital Globe orthophoto taken 2011-13 and earlier OSi orthophotos.Compiled by: Caimin O'BrienDate of upload: 24 June 2020,,,,,
LISSARD,LIMERICK,LI041-063----,LI07201,92315,DTBA,ditch barrow,52.431464,-8.317234,"In reclaimed pasture, 70m S of a watercourse that marks the townland boundary with Bohercarron and 100m W of the County boundary with Tipperary.   Stepped barrow (TS066-122----) lies 200m to SE. Not depicted on OSi historic maps. Possible barrow identified by the Bruff aerial photographic survey in 1986 (Bruff 16; AP 5/2133).  Faint trace of circular-shaped cropmark (diam. c. 5m) visible on Google Earth orthoimages.   See attached Bruff aerial photograph and Google Earth orthoimages.   Compiled by: Martin Fitzpatrick  Date of upload: 4 August 2021",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-039001-,TS01833,132351,DTBA,ditch barrow,52.459139,-8.317183,In level pasture. Identified as a ring-ditch on an aerial photograph (OS 2436/5). Circular area (dims. 5.8m N-S; 5.5m E-W) defined by low profile fosse (Wth 2.75m; D 0.07m). Interior generally level and is same height as exterior ground level. Land drained leaving dry water channels across surrounding field.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011,,,,,
LISSARD,LIMERICK,LI041-076----,LI08761,160307,DTBA,ditch barrow,52.428552,-8.317051,In reclaimed grassland. Cropmark of ditch-barrow (diam. c. 5m) visible on Google Earth orthophoto taken 18/11/2018.  See attached Google Earth orthoimagesCompiled by: Caimin O’BrienDate of upload: 6 December 2021,,,,,
"BALLYFAUSKEEN (Coshlea By., Cullane ED)",LIMERICK,LI049-269----,LI07270,92366,DTBA,ditch barrow,52.360788,-8.316992,In reclaimed pasture 10m E of the townland boundary with Curraghturk. Enclosure (LI049-188----) lies 15m to NW.  Not depicted on OSi historic maps.  The monument is visible as a circular-shaped cropmark on oblique aerial photograph (ASIAP (34) 20) dated 05-01-2003. Faint cropmark visible on Google Earth orthoimage taken 10/20/2006.    See oblique aerial photograph (ASIAP (34) 20) and Google Earth orthoimages  Compiled by: Martin Fitzpatrick  Date of upload:  5 October 2021,,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-229----,TS05841,160613,DTBA,ditch barrow,52.461136,-8.316638,"In reclaimed low-lying pasture. A circular enclosure (overall diam. c. 10m), defined by a fosse, visible on satellite imagery (Google Earth satellite imagery, 18 November 2018), identified and reported by Jean-Charles Caillère. There are a large number of barrows and enclosures in the general vicinity, including an enclosure (TS066-039003-) c. 150m to the SSE.  See attached: TS066-229----_01 Google Earth image (imagery date 18 November 2018)   Compiled by: Jean Farrelly   Date of upload: 7 January 2022",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-038----,TS01832,132350,DTBA,ditch barrow,52.463276,-8.3163,"In improved pasture, with regeneration of rushes, on a W-facing slope. Circular area (dims. 6m N-S; 5.25m E-W) defined by a very shallow fosse (Wth 1.75m; D 0.05m). Cork-Limerick Junction railway line is c. 22m to SE. Identified as a possible ring-barrow on an aerial photograph (OS 2397/8).  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BRACKYLE,LIMERICK,LI024-320----,LI08481,158530,DTBA,ditch barrow,52.569491,-8.315928,In reclaimed grassland. Outline of circular-shaped area (approx. diam. 7m) defined by a fosse visible on Digital Globe orthophoto taken 2011-13 and earlier OSi orthophotos.Compiled by: Caimin O'BrienDate of upload: 24 June 2020,,,,,
BRACKYLE,LIMERICK,LI024-318----,LI08479,158528,DTBA,ditch barrow,52.569097,-8.315335,In reclaimed grassland. Outline of circular-shaped area (approx. diam. 7m) defined by a fosse visible on Digital Globe orthophoto taken 2011-13 and earlier OSi orthophotos.Compiled by: Caimin O'BrienDate of upload: 24 June 2020,,,,,
BALLYNAGRANA (Emly Par.),TIPPERARY SOUTH,TS066-092010-,TS04199,134985,DTBA,ditch barrow,52.45199,-8.314836,In gently undulating wet pasture with a barrow (TS066-092009-) c. 10m to the NE. Identified on Bruff Survey aerial photograph (ref. 2090). Circular area (diam. 5m) defined by a very slight fosse (Wth 1.5m; H 0.1m) marked with a growth of reeds. The interior is level and clear of overgrowth.  Compiled by: Jean Farrelly  Date of revised upload: 8 September 2014,,,,,
GLENBALLYTHOMAS,ROSCOMMON,RO022-057027-,RO02424,112755,DTBA,ditch barrow,53.796024,-8.314811,"On a rise on the S-facing slope of Rathcroghan plateau. Circular grass-covered area (diam. c. 4m; H 0.1m) defined by a slight fosse (Wth c. 4m; D 0.1m). The N Mucklaghs (RO021-042015-) are c. 120m to the SW and the S Mucklaghs (RO021-042016-) are c. 150m to the SSW. (Herity 1983, 131; 1984, 129, Glenballythomas 20; Waddell 1987-8, 35, No. 52)  Compiled by: Michael Moore  Date of upload: 24 August 2010 ",,,,,
LISSARD,LIMERICK,LI041-077----,LI08762,160313,DTBA,ditch barrow,52.429898,-8.314502,In reclaimed grassland. Cropmark of possible conjoined ditch-barrow (diam. c. 7m) visible on Google Earth orthophoto taken 18/11/2018.  See attached Google Earth orthoimagesCompiled by: Caimin O’BrienDate of upload: 7 December 2021,,,,,
BALLYWIRE,TIPPERARY SOUTH,TS066-166----,TS01997,132671,DTBA,ditch barrow,52.433746,-8.314206,"At the foot of a N-facing slope of a gentle hillock, with a standing stone (TS066-198----) visible 86m to the SSE on the summit. A stream runs roughly NE-SW c. 70m to the NW. There is a ring-barrow (TS066-172----) and a stepped barrow (TS066-122---) 184m and 260m to the S respectively. Identified by Doody (Bruff 58, aerial photograph 2133). A very subtle monument consisting of a low, roughly circular raised area (diam. N-S 5m; E-W 5.2m; H 0.03-0.15m) enclosed by a fosse (Wth 1.2-1.4m; D below ext. ground level 0.05-0.14m). There is no visible trace of an outer bank, the external ground level rises naturally to the E and S.  Compiled by: Jean Farrelly  Date of upload: 13 March 2013",,,,,
BALLYWIRE,TIPPERARY SOUTH,TS066-168----,TS02001,132677,DTBA,ditch barrow,52.440463,-8.313166,"In improved, lush pasture, on a raised area of a gently undulating field. Oval area (dims. 5.9m NE-SW; 3.25m NW-SE) defined by fosse (Wth 1.95m; H 0.15m) which is best preserved at NW (max. D 0.2m). Identified during a survey by Eoin Grogan.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BREANSHA,TIPPERARY SOUTH,TS066-027002-,TS04873,135490,DTBA,ditch barrow,52.466162,-8.312641,"In improved pasture, on a S-facing slope. A ring-barrow (TS066-027001-) is located c. 2m to NW. Identified as a circular feature on an aerial photograph (OS 2397/8) during fieldwork (ASI 2009). An oval area (dims. 4.8m N-S; 5.3m E-W) defined by a fosse (Wth 2.1m; D 0.12m) which is truncated by an old land drain (long-axis NW-SE) across the SSW-arc. Poorly drained area to the SW.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BREANSHA,TIPPERARY SOUTH,TS066-027----,TS01819,132319,DTBA,ditch barrow,52.465893,-8.312448,"In improved pasture, on a S-facing slope. Circular area (dims. 4.2m N-S; 4m E-W) defined by scarp (Wth 0.8m; H 0.05-0.2m) and fosse (Wth 1.6m; D 0.05m). Monument cut into slope W-N-ESE where scarp and fosse are best defined.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
GARRYNALYNA,LIMERICK,LI049-142----,LI05210,90624,DTBA,ditch barrow,52.385286,-8.311982,"In pasture, 105m W of townland boundary with Knockaunacurragha. Not depicted on historic OSi maps. Possible ditch-barrow identified as a circular-shaped cropmark, transected at S by a field boundary running E-W, on Bórd Gáis Éireann Curraleigh West-Limerick gas pipeline aerial photographs (BGE 1/10,560; 0119) taken 03/11/1984. No surface remains visible on Digital Globe orthoimage taken between 2011-13 and on Google Earth orthoimages.See attached Bórd Gáis Éireann aerial photograph and Google Earth orthoimages. Compiled by: Fiona Rooney Date of upload: 1 November 2021",,,,,
BALLYWIRE,TIPPERARY SOUTH,TS066-169002-,TS02003,132679,DTBA,ditch barrow,52.439066,-8.311111,"In improved, level pasture. Identified as one of a pair of unclassified barrows during a survey by Eoin Grogan. Remains of oval area (dims. 4m NE-SW; 2.8m NW-SE) defined by shallow fosse (Wth 1.8m; D 0.12m) NNE-WNW and truncated by shallow land drain (long-axis NE-SW) across NW-sector. Interior only marginally lower than exterior by 0.03m. Ditch barrow (TS066-169001-) is conjoined to SE.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BALLYWIRE,TIPPERARY SOUTH,TS066-169001-,TS02002,132678,DTBA,ditch barrow,52.439021,-8.311008,"In improved, level pasture. Identified as one of a pair of unclassified barrows during a survey by Eoin Grogan. Circular area (dims. 5m N-S; 4.5m E-W) defined by remains of shallow fosse (Wth 1.95m; D 0.14m). Interior is level and is 0.08m below exterior ground level. Ditch barrow (TS066-169002-) is conjoined to NW.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
BALLYNAGRANA (Emly Par.),TIPPERARY SOUTH,TS066-092012-,TS05494,150727,DTBA,ditch barrow,52.450645,-8.310163,"In gently undulating pasture where there are a large number of ditch barrows. The nearest barrow (TS066-092005-) lies c. 65m to the NNW, with another TS066-092006- c. 112m to the W. Not shown on any edition of the OS 6-inch map but visible Google Earth aerial imagery (Imagery Date: 2/20/2009) as a roughly circular enclosure (diam. c. 6m). This monument is not visible above ground level.   Compiled by: Jean Farrelly  Date of upload: 11 December 2013",,,,,
LISSOBIHANE,TIPPERARY SOUTH,TS066-078----,TS01884,132450,DTBA,ditch barrow,52.454196,-8.309967,"In rough, level pasture on a marginally higher area above old water channels. Circular area (dims. 6.5m N-S; 6.0m E-W) defined by low profile fosse (Wth 1.8m; D 0.15m) which is accentuated by wild irises. Interior level and same height as exterior ground level. Identified as a ring-ditch on an aerial photograph (OS 2435/6). Field boundary (long-axis E-W) is c. 10m to N.  Compiled by: Jean Farrelly  Date of upload: 26 August 2011",,,,,
